ga_session_id,session_start_ts,device_category,device_operating_system,device_browser,geo_country,traffic_source,event_count,has_purchase,engagement_time_msec,source,matched_to_direct,session_category,event_count_num,engagement_num,category,matched_to_sst
1768270689,1768270689000000,desktop,Windows,Chrome,Australia,,97,1,225184,SST,True,Both,97,225184.0,Both,
1767941175,1767941181000000,desktop,Windows,Chrome,China,,1,0,,SST,True,Both,1,0.0,Both,
1767774648,1767774650000000,desktop,Windows,Edge,Australia,,2,0,,SST,True,Both,2,0.0,Both,
1768122673,1768122674000000,desktop,Macintosh,Safari,Australia,,10,0,83297,SST,True,Both,10,83297.0,Both,
1767930351,1767930352000000,desktop,Macintosh,Chrome,Australia,,1,0,,SST,True,Both,1,0.0,Both,
1767912653,1767912653000000,desktop,Windows,Chrome,Australia,,4,0,10275,SST,True,Both,4,10275.0,Both,
1767759597,1767759600000000,desktop,Windows,Chrome,Australia,,2,0,41280,SST,True,Both,2,41280.0,Both,
1768268276,1768268277000000,mobile,iOS,Safari,Australia,,2,0,57220,SST,True,Both,2,57220.0,Both,
1768294743,1768294744000000,desktop,Macintosh,Safari,Malaysia,,18,0,96705,SST,True,Both,18,96705.0,Both,
1767825208,1767825218000000,desktop,Windows,Chrome,Australia,,2,0,295506,SST,True,Both,2,295506.0,Both,
1768176811,1768176812000000,mobile,Android,Chrome,Australia,,12,0,13169,SST,True,Both,12,13169.0,Both,
1768208380,1768208382000000,desktop,Macintosh,Chrome,China,,1,0,,SST,False,SST-only,1,0.0,SST-only,
1768318702,1768318704000000,desktop,Windows,Chrome,China,,3,0,3605,SST,False,SST-only,3,3605.0,SST-only,
1768322618,1768322618000000,mobile,iOS,Safari,Australia,,3,0,22349,SST,False,SST-only,3,22349.0,SST-only,
1767683271,1767683272000000,mobile,iOS,Safari,Australia,,5,0,1750,SST,False,SST-only,5,1750.0,SST-only,
1768269199,1768269193000000,desktop,Windows,Chrome,Australia,,2,0,3296,SST,False,SST-only,2,3296.0,SST-only,
1768120873,1768120874000000,desktop,Windows,Chrome,China,,3,0,9068,SST,False,SST-only,3,9068.0,SST-only,
1768341884,1768341885000000,mobile,iOS,Safari,Australia,,2,0,,SST,False,SST-only,2,0.0,SST-only,
1767830635,1767830637000000,desktop,Windows,Chrome,Australia,,8,0,5306,SST,False,SST-only,8,5306.0,SST-only,
1768343558,1768343559000000,desktop,Windows,Chrome,Australia,,38,0,247725,SST,False,SST-only,38,247725.0,SST-only,
1768344848,1768344833000000,desktop,Windows,Chrome,Australia,,8,0,74394,SST,False,SST-only,8,74394.0,SST-only,
1768346613,1768346614000000,mobile,iOS,Safari,Australia,,222,0,1779996,SST,False,SST-only,222,1779996.0,SST-only,
1768346320,1768346321000000,desktop,Windows,Chrome,Australia,,1,0,,SST,False,SST-only,1,0.0,SST-only,
1767772106,1767772107000000,mobile,iOS,Safari,Australia,,33,0,145484,SST,False,SST-only,33,145484.0,SST-only,
1767769790,1767769792000000,desktop,Windows,Chrome,China,,4,0,45411,SST,False,SST-only,4,45411.0,SST-only,
1767962214,1767962217000000,desktop,Windows,Chrome,China,,2,0,183,SST,False,SST-only,2,183.0,SST-only,
1767921850,1767921851000000,desktop,Windows,Chrome,Australia,,19,0,170423,SST,False,SST-only,19,170423.0,SST-only,
1768345004,1768345005000000,tablet,iOS,Safari,Australia,,18,0,215645,SST,False,SST-only,18,215645.0,SST-only,
1768347481,1768347482000000,mobile,iOS,Safari,Australia,,41,0,176249,SST,False,SST-only,41,176249.0,SST-only,
1767903725,1767903756000000,tablet,iOS,Safari,Australia,,10,0,30597,SST,False,SST-only,10,30597.0,SST-only,
1768179419,1768179420000000,desktop,Windows,Edge,Australia,,30,0,91065,SST,False,SST-only,30,91065.0,SST-only,
1767960500,1767960503000000,desktop,Windows,Chrome,China,,2,0,1799,SST,False,SST-only,2,1799.0,SST-only,
1768309732,1768309733000000,mobile,iOS,Safari,Australia,,2,0,16795,SST,False,SST-only,2,16795.0,SST-only,
1768346474,1768346475000000,desktop,Windows,Chrome,China,,3,0,9432,SST,False,SST-only,3,9432.0,SST-only,
1767831107,1767831108000000,desktop,Windows,Chrome,China,,2,0,3362,SST,False,SST-only,2,3362.0,SST-only,
1767928000,1767928002000000,desktop,Windows,Chrome,United States,,3,0,22126,SST,False,SST-only,3,22126.0,SST-only,
1767944424,1767944424000000,mobile,iOS,Safari,Australia,,63,0,136819,SST,False,SST-only,63,136819.0,SST-only,
1768338071,1768338081000000,desktop,Windows,Chrome,India,,3,0,,SST,False,SST-only,3,0.0,SST-only,
1768200721,1768200722000000,desktop,Windows,Chrome,Australia,,9,0,58022,SST,False,SST-only,9,58022.0,SST-only,
1768338869,1768338870000000,desktop,Macintosh,Safari,Australia,,1,0,,SST,False,SST-only,1,0.0,SST-only,
1768214882,1768214890000000,desktop,Windows,Chrome,United States,,2,0,16375,SST,False,SST-only,2,16375.0,SST-only,
1768208169,1768208176445557,desktop,Windows,Chrome,Argentina,,1,0,46,Direct,,Direct-only,1,46.0,Direct-only,False
1767786650,1767786650475193,desktop,Macintosh,Chrome,Australia,,2,0,,Direct,,Direct-only,2,0.0,Direct-only,False
1767655040,1767655041047040,desktop,Macintosh,Safari,Australia,,6,0,8730,Direct,,Direct-only,6,8730.0,Direct-only,False
1767902476,1767902477068642,desktop,Windows,Chrome,Egypt,,3,0,,Direct,,Direct-only,3,0.0,Direct-only,False
1767831499,1767831497116380,mobile,Android,Chrome,Japan,,2,0,,Direct,,Direct-only,2,0.0,Direct-only,False
1767915479,1767915511260005,desktop,Windows,Chrome,Australia,,24,0,396492,Direct,,Direct-only,24,396492.0,Direct-only,False
1767840207,1767840209824442,desktop,Windows,Chrome,Brazil,,3,0,,Direct,,Direct-only,3,0.0,Direct-only,False
1767758906,1767758904747683,mobile,Android,Chrome,Japan,,2,0,,Direct,,Direct-only,2,0.0,Direct-only,False
1767914724,1767914726261374,desktop,Windows,Chrome,Venezuela,,3,0,,Direct,,Direct-only,3,0.0,Direct-only,False
1767675604,1767675604491907,desktop,Windows,Chrome,Australia,,2,0,,Direct,,Direct-only,2,0.0,Direct-only,False
1767947512,1767947514300217,desktop,Windows,Chrome,Pakistan,,3,0,,Direct,,Direct-only,3,0.0,Direct-only,False
1767623332,1767623333642145,desktop,Windows,Firefox,Australia,,52,0,146158,Direct,,Direct-only,52,146158.0,Direct-only,False
1768198387,1768198388030281,desktop,Windows,Chrome,China,,4,0,10727,Direct,,Direct-only,4,10727.0,Direct-only,False
1767885273,1767885274507807,desktop,Windows,Chrome,Vietnam,,3,0,,Direct,,Direct-only,3,0.0,Direct-only,False
1767656627,1767656628222332,desktop,Windows,Edge,Australia,,19,0,26185,Direct,,Direct-only,19,26185.0,Direct-only,False
1768089527,1768089526638573,desktop,Windows,Chrome,Hungary,,5,0,35111,Direct,,Direct-only,5,35111.0,Direct-only,False
1767941972,1767941972982987,desktop,Windows,Chrome,Vietnam,,3,0,,Direct,,Direct-only,3,0.0,Direct-only,False
1767653298,1767653299274661,desktop,Windows,Chrome,Australia,,7,0,10870,Direct,,Direct-only,7,10870.0,Direct-only,False
1767635383,1767635384056159,mobile,iOS,Safari,Australia,,3,0,,Direct,,Direct-only,3,0.0,Direct-only,False
1767624730,1767624730755324,desktop,Windows,Chrome,China,,6,0,46,Direct,,Direct-only,6,46.0,Direct-only,False
1767630152,1767630152582665,desktop,Macintosh,Safari,Australia,,105,0,782824,Direct,,Direct-only,105,782824.0,Direct-only,False
1767649002,1767649002801617,desktop,Windows,Chrome,China,,3,0,,Direct,,Direct-only,3,0.0,Direct-only,False
1768294981,1768294982259734,desktop,Windows,Edge,Japan,,2,0,,Direct,,Direct-only,2,0.0,Direct-only,False
1768011197,1768011199316497,desktop,Windows,Chrome,Brazil,,3,0,,Direct,,Direct-only,3,0.0,Direct-only,False
1767803898,1767803899708962,desktop,Windows,Chrome,Venezuela,,3,0,,Direct,,Direct-only,3,0.0,Direct-only,False
1767656920,1767656921142309,desktop,Windows,Edge,Japan,,5,0,12092,Direct,,Direct-only,5,12092.0,Direct-only,False
1767968283,1767968285188216,desktop,Windows,Chrome,Mexico,,3,0,,Direct,,Direct-only,3,0.0,Direct-only,False
1768030728,1768030728861965,desktop,Linux,Samsung Internet,Australia,,6,0,72982,Direct,,Direct-only,6,72982.0,Direct-only,False
1767707085,1767707068605679,desktop,Windows,Chrome,India,,2,0,,Direct,,Direct-only,2,0.0,Direct-only,False
1767950812,1767950814963372,desktop,Windows,Chrome,Vietnam,,3,0,,Direct,,Direct-only,3,0.0,Direct-only,False
